CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
61	MDCR_TOTAL_SPEND_07	Medicare Payment Amount - July	Num	8
62	MDCR_TOTAL_SPEND_08	Medicare Payment Amount - August	Num	8
63	MDCR_TOTAL_SPEND_09	Medicare Payment Amount - September	Num	8
64	MDCR_TOTAL_SPEND_10	Medicare Payment Amount - October	Num	8
65	MDCR_TOTAL_SPEND_11	Medicare Payment Amount - November	Num	8
66	MDCR_TOTAL_SPEND_12	Medicare Payment Amount - December	Num	8
67	MDCD_TOTAL_USE_01	Medicaid Use (Claim Count) - January	Num	8
68	MDCD_TOTAL_SPEND_01	Medicaid Payment Amount - January	Num	8
69	MDCD_NON_CAPTD_SPEND_01	Medicaid Non-Capitated Payment Amount - January	Num	8
70	MDCD_MC_CAPTD_SPEND_01	Medicaid Managed Care Capitated Payment Amount - January	Num	8
71	MDCD_TOTAL_USE_02	Medicaid Use (Claim Count) - February	Num	8
72	MDCD_TOTAL_SPEND_02	Medicaid Payment Amount - February	Num	8
73	MDCD_NON_CAPTD_SPEND_02	Medicaid Non-Capitated Payment Amount - February	Num	8
74	MDCD_MC_CAPTD_SPEND_02	Medicaid Managed Care Capitated Payment Amount - February	Num	8
75	MDCD_TOTAL_USE_03	Medicaid Use (Claim Count) - March	Num	8
76	MDCD_TOTAL_SPEND_03	Medicaid Payment Amount - March	Num	8
77	MDCD_NON_CAPTD_SPEND_03	Medicaid Non-Capitated Payment Amount - March	Num	8
78	MDCD_MC_CAPTD_SPEND_03	Medicaid Managed Care Capitated Payment Amount - March	Num	8
79	MDCD_TOTAL_USE_04	Medicaid Use (Claim Count) - April	Num	8
80	MDCD_TOTAL_SPEND_04	Medicaid Payment Amount - April	Num	8
81	MDCD_NON_CAPTD_SPEND_04	Medicaid Non-Capitated Payment Amount - April	Num	8
82	MDCD_MC_CAPTD_SPEND_04	Medicaid Managed Care Capitated Payment Amount - April	Num	8
83	MDCD_TOTAL_USE_05	Medicaid Use (Claim Count) - May	Num	8
84	MDCD_TOTAL_SPEND_05	Medicaid Payment Amount - May	Num	8
85	MDCD_NON_CAPTD_SPEND_05	Medicaid Non-Capitated Payment Amount - May	Num	8
86	MDCD_MC_CAPTD_SPEND_05	Medicaid Managed Care Capitated Payment Amount - May	Num	8
87	MDCD_TOTAL_USE_06	Medicaid Use (Claim Count) - June	Num	8
88	MDCD_TOTAL_SPEND_06	Medicaid Payment Amount - June	Num	8
89	MDCD_NON_CAPTD_SPEND_06	Medicaid Non-Capitated Payment Amount - June	Num	8
90	MDCD_MC_CAPTD_SPEND_06	Medicaid Managed Care Capitated Payment Amount - June	Num	8
91	MDCD_TOTAL_USE_07	Medicaid Use (Claim Count) - July	Num	8
92	MDCD_TOTAL_SPEND_07	Medicaid Payment Amount - July	Num	8
93	MDCD_NON_CAPTD_SPEND_07	Medicaid Non-Capitated Payment Amount - July	Num	8
94	MDCD_MC_CAPTD_SPEND_07	Medicaid Managed Care Capitated Payment Amount - July	Num	8
95	MDCD_TOTAL_USE_08	Medicaid Use (Claim Count) - August	Num	8
96	MDCD_TOTAL_SPEND_08	Medicaid Payment Amount - August	Num	8
97	MDCD_NON_CAPTD_SPEND_08	Medicaid Non-Capitated Payment Amount - August	Num	8
98	MDCD_MC_CAPTD_SPEND_08	Medicaid Managed Care Capitated Payment Amount - August	Num	8
99	MDCD_TOTAL_USE_09	Medicaid Use (Claim Count) - September	Num	8
100	MDCD_TOTAL_SPEND_09	Medicaid Payment Amount - September	Num	8
101	MDCD_NON_CAPTD_SPEND_09	Medicaid Non-Capitated Payment Amount - September	Num	8
102	MDCD_MC_CAPTD_SPEND_09	Medicaid Managed Care Capitated Payment Amount - September	Num	8
103	MDCD_TOTAL_USE_10	Medicaid Use (Claim Count) - October	Num	8
104	MDCD_TOTAL_SPEND_10	Medicaid Payment Amount - October	Num	8
105	MDCD_NON_CAPTD_SPEND_10	Medicaid Non-Capitated Payment Amount - October	Num	8
106	MDCD_MC_CAPTD_SPEND_10	Medicaid Managed Care Capitated Payment Amount - October	Num	8
107	MDCD_TOTAL_USE_11	Medicaid Use (Claim Count) - November	Num	8
108	MDCD_TOTAL_SPEND_11	Medicaid Payment Amount - November	Num	8
109	MDCD_NON_CAPTD_SPEND_11	Medicaid Non-Capitated Payment Amount - November	Num	8
110	MDCD_MC_CAPTD_SPEND_11	Medicaid Managed Care Capitated Payment Amount - November	Num	8
111	MDCD_TOTAL_USE_12	Medicaid Use (Claim Count) - December	Num	8
112	MDCD_TOTAL_SPEND_12	Medicaid Payment Amount - December	Num	8
113	MDCD_NON_CAPTD_SPEND_12	Medicaid Non-Capitated Payment Amount - December	Num	8
